6 squares | u1 = 1 | v1 = 2 | u2 = 3 | v2 = 4 | [289, 1225, 361, 697, 625, 553, 889, 25, 961]
6 squares | u1 = 1 | v1 = 2 | u2 = 3 | v2 = 4 | [289, 1561, 25, 361, 625, 889, 1225, -311, 961]
6 squares | u1 = 1 | v1 = 2 | u2 = 2 | v2 = 9 | [13465, 1681, 6529, 289, 7225, 14161, 7921, 12769, 985]
6 squares | u1 = 1 | v1 = 2 | u2 = 10 | v2 = 11 | [990025, 2393209, 279841, 510841, 1221025, 1931209, 2162209, 48841, 1452025]
6 squares | u1 = 1 | v1 = 2 | u2 = 10 | v2 = 11 | [990025, 2624209, 48841, 279841, 1221025, 2162209, 2393209, -182159, 1452025]
6 squares | u1 = 1 | v1 = 2 | u2 = 12 | v2 = 13 | [2059225, 4800481, 487969, 877969, 2449225, 4020481, 4410481, 97969, 2839225]
6 squares | u1 = 1 | v1 = 2 | u2 = 13 | v2 = 16 | [108241, 7225, 426409, 498793, 180625, -137543, -65159, 354025, 253009]
6 squares | u1 = 1 | v1 = 2 | u2 = 13 | v2 = 16 | [108241, 426409, 7225, 79609, 180625, 281641, 354025, -65159, 253009]
6 squares | u1 = 1 | v1 = 2 | u2 = 6 | v2 = 17 | [2401, 4225, 310249, 413473, 105625, -202223, -98999, 207025, 208849]
6 squares | u1 = 1 | v1 = 2 | u2 = 6 | v2 = 17 | [2401, 310249, 4225, 107449, 105625, 103801, 207025, -98999, 208849]
6 squares | u1 = 1 | v1 = 2 | u2 = 6 | v2 = 23 | [608521, 47089, 302065, 12769, 319225, 625681, 336385, 591361, 29929]
6 squares | u1 = 1 | v1 = 2 | u2 = 2 | v2 = 25 | [6786025, 19386409, 3500641, 6605641, 9891025, 13176409, 16281409, 395641, 12996025]
6 squares | u1 = 1 | v1 = 2 | u2 = 2 | v2 = 25 | [6786025, 22491409, 395641, 3500641, 9891025, 16281409, 19386409, -2709359, 12996025]
6 squares | u1 = 1 | v1 = 2 | u2 = 7 | v2 = 26 | [69169, 1030225, 477481, 933937, 525625, 117313, 573769, 21025, 982081]
6 squares | u1 = 1 | v1 = 2 | u2 = 7 | v2 = 26 | [69169, 1486681, 21025, 477481, 525625, 573769, 1030225, -435431, 982081]
6 squares | u1 = 1 | v1 = 2 | u2 = 17 | v2 = 26 | [1720321, 247009, 826345, 37249, 931225, 1825201, 1036105, 1615441, 142129]
6 squares | u1 = 1 | v1 = 2 | u2 = 20 | v2 = 29 | [12924025, 75463969, 27118081, 52696081, 38502025, 24307969, 49885969, 1540081, 64080025]
6 squares | u1 = 1 | v1 = 2 | u2 = 20 | v2 = 29 | [12924025, 101041969, 1540081, 27118081, 38502025, 49885969, 75463969, -24037919, 64080025]
6 squares | u1 = 1 | v1 = 2 | u2 = 19 | v2 = 30 | [9030025, 1590121, 108638929, 139361929, 39753025, -59855879, -29132879, 77915929, 70476025]
6 squares | u1 = 1 | v1 = 2 | u2 = 19 | v2 = 30 | [9030025, 108638929, 1590121, 32313121, 39753025, 47192929, 77915929, -29132879, 70476025]
6 squares | u1 = 1 | v1 = 2 | u2 = 23 | v2 = 34 | [877969, 5564881, 2074825, 4036081, 2839225, 1642369, 3603625, 113569, 4800481]
6 squares | u1 = 1 | v1 = 2 | u2 = 12 | v2 = 37 | [2839225, 112169281, 56679169, 111069169, 57229225, 3389281, 57779281, 2289169, 111619225]
6 squares | u1 = 1 | v1 = 2 | u2 = 2 | v2 = 41 | [2289169, 5564881, 663625, 1213681, 2839225, 4464769, 5014825, 113569, 3389281]
6 squares | u1 = 1 | v1 = 2 | u2 = 6 | v2 = 47 | [8684809, 2588881, 3846385, 201601, 5040025, 9878449, 6233665, 7491169, 1395241]
6 squares | u1 = 1 | v1 = 2 | u2 = 22 | v2 = 49 | [16451425, 57121, 8461129, 332929, 8323225, 16313521, 8185321, 16589329, 195025]
6 squares | u1 = 1 | v1 = 2 | u2 = 38 | v2 = 55 | [168870025, 978626089, 350400961, 680829961, 499299025, 317768089, 648197089, 19971961, 829728025]
6 squares | u1 = 1 | v1 = 2 | u2 = 38 | v2 = 55 | [168870025, 1309055089, 19971961, 350400961, 499299025, 648197089, 978626089, -310457039, 829728025]
6 squares | u1 = 1 | v1 = 2 | u2 = 59 | v2 = 60 | [1211388025, 50140561, 2499013489, 2541139489, 1253514025, -34111439, 8014561, 2456887489, 1295640025]
